DATE,VOTE,INFO
2025-06-03,5,빠른 배송과 제품 모두 만족합니다
2025-05-22,5,한달사용아직 한 번도 사용한 적이 없어요 에어컨 나오느 곳에 해야 하는데 그건 따로 구매해야 해요 ㅜ
2025-05-12,5,한달사용배송빠르고좋습니다~
2025-05-03,5,한달사용튼튼하고 쓰기 넘넘 좋아요!!!
2025-05-14,5,4번째 구입하는 제품입니다 잘쓰고 있어요
2025-04-22,4,"한달사용사용하는데 불편함은 없고 일상생활에서 사용하는데는 고정력도 문제 없음.
다만 맥세이프나 아래 받침대가 없어서 주행하다보면 내려가있을 때가 있음."
2025-04-20,5,한달사용아직 잘쓰고 있습니다
2025-04-04,5,배송빠르고 좋습니다~~
2025-03-07,5,"동일 상품 3번째 구매!
1개 써보니 너무 좋아 지인 추천으로 또구입!

너무 좋습니다^^
튼튼함은 물론 단 한 번의 오류 없습니다."
2025-03-22,5,"한달사용재구매충전이 잘 되며, 거치 및 자동인식도 잘 됩니다"
2025-04-14,5,한달사용믿고삽니다. 가격이 조금 오르긴했네여ㅠ
2025-03-12,5,"한달사용만족합니다.
가성비 좋아요~~~"
2025-05-02,5,한달사용좋습니다좋습니다좋습니다좋습니다좋습니다좋습니다
2025-04-04,5,에어컨 쪽에 달고 싶으면 추가로 구매하셔야 해요ㅠㅠ
2025-03-02,5,한달사용일단 견고하고 핸드폰을 잘잡아 줍니다.넘좋아서 재구매 한거네요.앞으로도 이것만 쓸거 같아요
2025-03-06,5,차량용 거치대로 쓰려고 샀는데 예전에 쓰던 제품보다 견고하고 좋은 것 같아요!!
2025-03-29,5,"두번째 구매입니다.

가격대비 좋아요"
2025-03-25,1,한달사용돈 버렸음 갤럭시 폰 고정 안됨
2025-03-05,1,"한달사용밧데리가 과부하 걸려서 부풀어 올라서 충전으로는 안쓰고 거치대로만 씁니다. 
충전위치 잘 잡아야 충전 되며 잘잡아도 충전이 됐다 안됐다 하데요"
2025-03-21,5,한달사용배송도 빠르고 좋아요ㅔ
2025-03-18,5,굿 원래쓰던거라 재구매
2025-03-11,5,한달사용배송빠르고 제품좋아요
2025-03-06,5,한달사용생각보다 튼튼해요ᆢ근데고속충전은???
2025-02-14,5,"작아서 좋네요 
다만 하단부 지지대가 없어서 불안함은 있습니다"
2025-03-13,5,자주 주문하고 있습니다
2025-02-15,5,한달사용빠른 배송으로 잘 사용하고 있습니다.
2025-02-06,5,"쓰던게 부러져서 새로 샀어요
몇년간 잘썼던거에용"
2025-03-08,3,한달사용거치대용으로는 좋네요
2025-03-07,4,핸드폰 잘 잡아줍니다
2025-01-24,4,"배송 빠르구요,품질 마음에 듭니다.
다만 폰을 거치할때 밑에 받침이 없어서 옆이 조여질때까지 폰을 손으로 들고 있어야 하네요."
2025-03-03,5,차에 놓고 쓰기 좋을것 같아요
2025-02-12,5,한달사용편하게 잘쓰고 있습니다
2025-02-04,5,"한달사용잘 쓰고 있습니다
거치대는 따로 구입할 필요가 없을 것 같아요~"
2025-02-23,5,한달사용신지모루 배송 빠르고 좋아요.
