DATE,VOTE,INFO
2025-05-31,5,"재구매써본 모래 중에선 가장 좋았는데 가격때문에 싼 걸 쓰다가 애들 눈곱이 많이 껴서 안 되겠다 싶어 바꾸게 되었습니다 게다가 저렴한 모래는 그만큼 잘 부서지고 헤프게 쓰게 되더라구요

확실히 바꾸고나서 눈곱도 눈물도 줄고 모래 자체를 아이들도 선호해서 한참을 놀다나오기도 합니다 물론 처음엔 단단히 뭉쳐지다가 점점 덜해지는 건 있어요 그래서 카사바 모래와 섞어쓰는데 아주 좋습니다"
2025-04-09,5,"스토어PICK일단 배송이 최곱니다 주문 한 다음날 오는 이 배송!!최곱니다 바로 필요했는데 좋습니다
저희 고양이가 길냥이이였는데 눈물이 자꾸 나서 모래가 영향을 많이 끼친다는 고수 집사님들 말씀이 있어서 알아보고있던 중에 아메리가솔루션 모래가 추천을 많이 하시더라구요
먼지가 일단 없어서 고양이의 눈에 좋은것같습니다ㅎㅎ 한달 뒤 사용후기로 우리 고양이의 후기를 말씀 드리겠습니다 
대용량이다 보니 한번 사두면 든든하네요 
제가 들기에는 조금 무겁기는 하지만 포장지가 튼튼하여 문제 없겠어요
세일 기간에 저렴하게 좋은 상품을 사게 되어 기쁩니다 다음에 살때도 또 이 기획전이 있음 좋겠어요 부탁드립니다ㅎㅎ"
2025-06-07,5,"10년차 집사가 쓰고 만족한 아이템
여름철이지만 우리아이들을 위해 완벽항 무향에!
먼지날림도 적어요!
벤토라 사막화는 피할 수 없지만
카사바와 섞어쓰면최강의 조합입니다"
2025-06-07,5,재구매깨끗한 모래에요  계속 사용하다가 모래값이 오른것 같아서 부담스러워서  한번 다른 타 제품 저렴한거 샀더니 영 아니더라구요 통 두개라 두봉지 샀어요 색상이며 굵기도 우리 아이들한테  이 제품이 최고인것 같아요 ㅎㅎ
2025-06-05,5,"판매하시는다른 모래 사용해보다 제일 가성비좋고 만족했던 기억에 재구매합니다.
아이가 꼭 바닥에 소변을 봐서 잘 뭉치는게 중요한데 바닥에 싼것치고는 잘 뭉쳐요.
바로 감자캐면 조금 바스러지는데 잠깐 기다렸다가 캐면 제법 동글납작하게 굳어있어 만족합니다 
양도 많아서 도톰히 모래깔아주니 신나서 밟고 뒹구네요."
2025-06-06,5,"재구매먼지날림 덜하고 잘뭉치고 좋아요
캐네디언이랑 요거랑 세일할때마다 번갈아가며
쓰는데 둘다 좋은 제품들이라 세일많이 해주시면좋겠어용🥰"
2025-05-31,4,"두부모래랑 섞어쓰다가 화장실 2개중 한개는 이걸로만 가득 채웠는데 먼지가 심한지
애들 재채기랑 눈꼽이 자주 끼어서 
현재는 카사바랑 섞어서 사용합니다~
뭉쳐지는건 단단히 잘 만들어지네요!"
2025-06-01,5,"한달사용재구매배송에 오래 걸리지 않으니 쌓아두지 얺아도 되고 필요할 때 주문하면 돼서 좋아요.
카사바모래와 섞어쓰는데 고양이 3마리인데 보름만에 한 번씩 시키면 되는 것 같아요"
2025-05-28,5,"재구매모래 유목민으로 살다 정착해야지 싶은 모래입니다
다묘가정이라 모래 소비량이 만만치 않은데
대용량이라서 좋고 무엇보다 실내 화장실인데 탈취력이 좋아서 만족스러워요
아무리 환기를 해도 냄새가 나기 마련이지만 아메솔 쓰고서 냥님들이나 집사나 무척 만족스러워요"
2025-06-07,5,재구매이 제품은 정기구독이 없더라구요.. 있으면 좋겠는데요. ㅋ 그래서 매달 구입해서 편하게 사용하고 있어요. 먼지날림도 거의 없고 탈취력도 좋고해서 애들 화장실 치우기가 너무 편합니다.
2025-05-23,5,"재구매11년차 6냥이 집사 모래 정착템 입니다. 
아이들이 감자 맛동산 따로 보는데, 맛동산 하는곳은 아메솔카사바 섞어주고 감자하는곳은 카사바만 넣어줘요ㅎㅎ 먼지날림 정말없고, 아메솔 배송기간 못맞춰서 타사모래 잠깐 부어줬다가 떡져가지고 전체갈이만 다시했다는~ 너무너무 만족합니다♡"
2025-05-14,5,"모래 유목민 정착템✨
뭉침+탈취+먼지까지 완벽한 고양이모래예요!

진짜 이 모래 쓰고 나서 화장실 청소 스트레스가 확 줄었어요💨

✔️ 뭉침력 좋아서 퍼내기 편하고
✔️ 먼지 날림 거의 없고
✔️ 탈취력도 괜찮아서 냄새 확실히 줄었어요!

양도 넉넉해서 오래 쓰고, 손잡이 달린 포장이라 사용도 간편해요.
무겁긴 해도 믿고 다시 사게 되는 대용량 모래예요🐾

💡 꿀팁:
혹시 아이가 예민하거나 뭉침력을 높이고 싶다면,
카사바 모래를 소량 섞어 써보세요!
뭉침력은 짱짱 단단해지고, 가루날림도 확 줄어들어요!

한 줄 요약: 유목민 시절 끝!
모래 혼합 팁까지 더하면 진짜 최강 조합 완성입니다💙🪶"
2025-05-29,5,기존에 쓰던 카사 벤토가 기호성은 좋았지만 눈꼽이 너무 많이 껴서 걱정돼서 바꿨습니다. 카사바 와 섞어 주고 있어요. 바꾸자마자 바로 눈꼽 좋아지네요. 일단 지금은 만족하고 좀 더 사용해 보겠습니다.
2025-06-06,5,"오래 사용중이고 할인하길래 샀고 
슬슬 두부로 갈아타려고 생각중입니다...
사막화랑 먼지는 어떻게 할수가 없네요...좋기는하지만..
두부랑 같이사용하려고 샀어용 
섞어두니까 애들도 거부감없이 쓰고 뭐 아메솔 벤토... 말뭐....!!"
2025-05-29,5,"재구매다른 타사 제품군이 가격이 진짜 너무 ㅠ 너무해서 그리고 냄새 잘 잡아준다 했는데 그러지 못해서 용량도 적은데 용량대비 가격이 깡패여서 찾다가 한번? 사볼까? 했는데 여기로 정착합니다. 
양도 12.6에 가격도 괜찮고 저희 세마리 묘들이 잘 애용 해줘요."
