DATE,VOTE,INFO
2025-05-27,5,"첨써보는 주파집~
여행갈때 변환젠더만 구매해봤는데
요거 스포티지 클러스터에 잘 맞고
거치해보니 짱짱하게 장착되네요~~
이벤트로 1개 5천원 추가 구매했어요~
거치대에 한번더 연결하는 닭목 같은 긴 연결
거치대는 흔들거려서 실망입니다만..
나름 겐춘하네요~"
2025-05-31,4,"갤럭시 S23 플러스 사용자로서,
15W이상 무선급속이 안되는 폰이기에
10와트 충전속도 이상없음
디자인이야...  어짜피 폰에 가려지기도 하고, 그냥도 무난합니다
고정 잘되고, 충전 잘 됩니다
아쉬운점 2가지
첫번째, 이동이 꺼졌을때 자동으로 오픈되지 않는점
두번째, 요즘 LED가 들어간 제품도 더러 있던데...
없어도 되지만... 있으면 어떨까합니다
여튼, 만족합니다"
2025-06-08,5,"구형으로 몇년 잘 썼는데 접히고 펴질때 소리가 심해서 신형으로 바꿨더만 너무 조용하고 좋네요
가격도 적당하고 아주 좋아요.추천합니다"
2025-06-06,5,"아빠차에 차량용 충전 거치대를 샀는데 그전 타사 제품이 너무 불편해서 사용조차 안하시길래 이번에 하나 구매했습니다
투싼 구형 모델인가 타시는데 데시보드에 거치하기도 애매하고 앞유리에 부착하니 여름만되면 떨어지고 난리나서 송풍구형으로 샀는데 또 그거는 뭐가 이상한건지 계속 떨어졌는데 이번에 나온 신형은 송풍구형인데 내부에 걸이형??으로 되어있어 빠질 염려도 없고 아주 만족스럽다고 하셔서 뿌듯 ㅎ 
제 차도 하나 살까 고민되네요 ㅎㅎ"
2025-05-28,4,"4년정도 사용했더니 배터리가  맛이 갔는지
잘 안되더라구요,,그래서,신형으로  재구매합니다.
같이  들어있는  부속품은  차량에  맞질 않아서
기존 사용하던 거로  연결했어요"
2025-06-04,5,충전이 느므 잘됩니다 인식도 잘되고 버튼식이라 오작동도없구요 최곱니다!!
2025-05-13,5,"회사 차량 두 대에 5년을 사용했는데, 아직도 잘 사용중이라, 이번에 자가용에도 사용하려고 구매했습니다. 고정하는 툴이 신규로 나와줘서 더 제 차량에 잘 맞을 것 같네요. 잘 사용하겠습니다 :)"
2025-06-08,5,간편하고 참 좋아요 센서 작동도 잘됩니다
2025-04-26,5,"굿
좋네요
렉스턴 스포츠에는 송풍구가 핸들에 많이 붙어있어서
운전석 좌측에 설치해야 걸리적 거리지가 않네요

좋고, 만족합니다
좋은제품 많이 파세요"
2025-05-27,5,지지도 잘 되고 매우 만족합니다. 맥세이프로 부착하는 제품 사용할 때는 맥세이프 케이스만 사용해야 해서 아쉬웠는데 잡아서 거치해주는 형식이라 케이스 맥세이프 여부 상관없이 구매 가능해 편리합니다.
2025-05-30,5,"재구매기존3년쓴 주파집충전기가 충전은 잘되는데 내부모터가 뭐에걸리는지 소리가 나서 이번에 신형으로바꿨어요
3번째같은타입쓰는데 너무 만족합니다"
2025-05-30,5,충전도 잘되고 디자인도 깔끔해요. 폰 케이스가 케이스티파이제품인데 좀 두꺼워서 걱정했는데 잘 고정됩니다.
2025-06-02,5,"한달사용짱 마음에 들어요 튼튼하고 견고해요
설치쉽고  두버,세번 위치바꾸어도 튼튼하니좋아요"
2025-05-24,5,"신형으로 잘 받았어요
차에 장착해서 쓰는데 연결대 빼고쓰니 견고하니 좋네요
번창하세요"
2025-05-12,5,"튼튼하고 편하네요.
차량네비랑 티맵같이 보려고 구매했습니다"
2025-06-04,1,한달사용2달도 사용하지 않았는데 본체 뒷부분 동그란 나사산 부분이 완전히 부서져서 사용할 수 없게 되었습니다. 절대 비추입니다.
2025-06-02,2,"발열감이 심합니다
충전이 됐다 안됐다 하는거는 걍 그런가부다 하는데 충전이 느리고 발열은 심허네요…

충전하고 나면 핫팩~!!"
2025-05-04,5,"저는 자석방식에 충전기로 넘어왔는데
와이프가 케이블 연결해두고 네비 홈에 올려두고 쓰는게 너무 불편해보여서 주파집 구매하게 되었습니다.
새로 설치해보니 와이프도 만족하고 저도 만족스럽네요
이전 모델에 비해 통풍구에 고정 후 흔들림이 없도록 거치대가 업그레이드 된 점이 너무 좋았어요."
2025-06-04,4,기존에 사용하던 제품이 핸드폰 넣고 뺄때마다 소리가 심하게 나서 교체 이번꺼는 안그랬으면 좋겠네요
2025-04-09,5,"아마 21년..?도..?쯤부터 구형 제품 쓰다가 이번에 고장이나서 as알아볼까하다가 택배비생각하면 새로 구매하는게 좋겠다 싶어서 이번엔 신형모델로 구매했습니다! 
 에어컨바람나오는곳에 고정시 조금더 견고하게 고정되어 흔들림이 줄었고, 휴대폰거치시 잠금열림 작동소음이 훨씬 줄었더라구요! 만족합니다! 
 다만 제가 s24울트라인데 일반투명폰케이스 낀채로 거치하니 양쪽 조여서 폰을잡아주는 부분이 부드러운고무재질인지 꽉 잡아주진 못해서 손으로 폰을 잡아당기면 빠지긴해요! 일반적인 상황에선 잘 잡아줍니다!(이 부분은 구형이 좀 더 고정이 잘됐던것같아요!)
구형이 운전시 흔들림이 아무래도 살짝 거슬리긴했어서 본체 고정이 더 향상된점이 매우 좋아 신형구매에 만족하고있습니다! 앞으로도 한 5년은 거뜬히 사용할수있길바랍니다..!"
2025-05-27,4,설치만했고 어직 제대로 사용 못해봐서 튼튼하게 잘 버텨줄지 모르겠네요. 동작은 잘되고 무선충전도 잘 됩니다
2025-06-08,4,배송 잘 받았습니다.
2025-06-01,5,조립 간편해요! 아부지 차에 달아드리려고 샀는데 금방 설치하셨네요
2025-06-07,5,한달사용매우 내구성이 우수하고 사용하기 편리합니다
2025-05-31,4,"일단 튼튼해 보여요
무선 충전도 잘되는거 같아요"
2025-06-01,5,"제품 상태는 괜찮은데 거치대고정후 
주행시 좀 흔들리네요 그게좀 아쉬움"
2025-05-13,5,"재구매빠른 배송좋고 다른차에 추가로 장착했는데
송풍구에 딱 맞지 않아 맞지 않아서 전에쓰던거로 연결했는데 잘 맞네요.
올리면 잠기고 열릴땨는 정확히 눌러줘야해서 운전중 풀려서 떨어질일 없어서 좋아요 재구매입니다."
2025-06-03,5,한달사용감사합니다. 너무좋아요
2025-06-01,5,자동이여서 너무 편하고 360도 회전 가능해서 통풍구 원하는곳에 설치도 편하고 사용하기 좋아요^^
2025-06-03,5,"이런걸 찾고 있었어요.
감사합니다."
2025-05-30,4,"한달사용사용하기 편리하고, 괜찮습니다. 
만약 차량용 충전기 구매하게 된다면 재구마 할것 같습니다."
2025-06-03,5,한달사용사용이 편리하고 너무 잘 사용하고 있습니다 만족합니다
2025-06-06,5,배송도 빠르고 좋아요
2025-06-03,5,"한달사용속도 빠르고 인식잘 됩니다
폰 잘 잡아줘서 평점 5점 :)"
2025-05-14,5,"2세대 충전기보다 자동 모터 소음이 확실히 많이 줄었습니다. 본품 구성도 충전케이블, 충전기를 같이 제공하여 바로사용할수있습니다"
2025-05-28,5,각도 조절하기도 쉽고 고정도 잘되네요 만족합니다
2025-06-01,5,"한달사용지인들 선물에 제꺼 세번째 교체, 가족,,,,한 열번 정도 주문,다 항상만족!!!!"
2025-06-06,5,사이즈똑맞고 튼튼해서 조아요
2025-05-25,5,한달사용좋은데 참 좋은데 중간에 회전식 이으면 너무 흔들려요 고것만 고치거나 고정시켜주는거 있음 더좋을듯해요
